,image,width,height,x_min,y_min,x_max,y_max,label
0,89b7954e-img0,384,218,142,155,186,203,0
1,993c30f1-img1,384,218,139,129,186,183,0
2,99d065ef-img2,384,218,128,31,185,90,0
3,faa3bddb-img3,384,218,123,73,212,182,0
4,131b7e66-img4,384,218,46,64,150,170,0
5,471ed0a9-img5,384,218,79,38,211,177,0
6,ba49feda-img6,384,218,237,21,370,153,0
7,a12032d9-img7,384,218,195,54,340,184,0
8,ac96abc4-img9,384,218,147,117,185,157,0
9,528bd479-img10,384,218,200,133,244,176,0
10,c2fcbc93-img11,384,218,135,121,179,166,0
11,27e4fd57-img12,384,218,148,50,191,103,0
12,c82cb778-img13,384,218,174,64,217,114,0
13,52454a5a-img14,384,218,47,58,86,101,0
14,111b2727-img16,384,218,169,79,212,125,0
15,40c55dbe-img17,384,218,187,50,229,93,0
16,f8a5485f-img18,384,218,159,45,206,91,0
17,1e6a273e-img19,384,218,190,60,224,96,0
18,62f9f254-img20,384,218,189,126,223,159,0
19,861d3242-img21,384,218,203,167,239,204,0
20,c3e60423-img22,384,218,189,164,223,201,0
21,087c7955-img23,384,218,271,150,301,186,0
22,fa29e934-img25,384,218,203,69,236,104,0
23,19f5d595-img27,384,218,181,84,221,128,0
24,49c35b24-img30,384,218,182,99,218,142,0
25,1dcc54ec-img31,384,218,182,101,220,141,0
26,65cb8d16-img32,384,218,135,78,175,121,0
27,67342310-img33,384,218,140,70,183,114,0
28,95814858-img34,384,218,276,130,317,170,0
29,952aafe9-img35,384,218,283,130,323,177,0
30,40700222-img37,384,218,204,43,241,81,0
31,24dd55de-img38,384,218,209,45,245,82,0
32,b59eece6-img39,384,218,226,45,266,87,0
33,394f7c90-img40,384,218,233,58,270,94,0
34,770a9b3c-img41,384,218,219,56,260,95,0
35,92023894-img42,384,218,286,130,321,168,0
36,f3e07964-img43,384,218,283,130,316,169,0
37,95c50526-img44,384,218,102,107,139,146,0
38,d97fe8f1-img45,384,218,101,105,144,145,0
39,09125d14-img46,384,218,112,116,151,161,0
40,30309e49-img47,384,218,113,117,157,159,0
41,ce7e3a68-img48,384,218,219,123,254,166,0
42,4e28a643-img49,384,218,121,71,156,108,0
43,abe6a944-img50,384,218,201,28,241,69,0
44,ca29fe9b-img51,384,218,207,150,245,191,0
45,21dc00be-img52,384,218,167,60,204,97,0
46,30593a9d-img53,384,218,96,99,139,145,0
47,80800740-img54,384,218,209,152,247,192,0
48,1916099e-img56,384,218,235,69,278,116,0
49,99dc566c-img57,384,218,190,103,231,143,0
50,ae5f65d2-img62,384,218,185,78,237,131,0
51,12bb4076-img63,384,218,220,65,272,115,0
52,0239f8e6-img64,384,218,177,68,231,123,0
53,f6328667-img65,384,218,97,91,155,148,0
54,48424680-img66,384,218,77,140,138,206,0
55,59d68f22-img67,384,218,128,66,209,147,0
56,d4347912-img68,384,218,44,84,102,146,0
57,82a2a2d8-img70,384,218,24,60,86,125,0
58,c4d454ee-img71,384,218,128,48,178,99,0
59,eef1d6f7-img72,384,218,131,149,174,192,0
60,c4e66007-img73,384,218,160,91,199,129,0
61,b81a3cb3-img74,384,218,100,152,140,191,0
62,bf5ccf99-img75,384,218,211,100,241,133,0
63,7145909a-img76,384,218,248,86,296,129,0
64,53cb7e49-img77,384,218,202,84,244,125,0
65,dca5743c-img79,384,218,252,71,302,114,0
66,aeeac7a4-img81,384,218,223,167,272,215,0
67,34374d4d-img82,384,218,247,116,297,167,0
68,9fc3353e-img83,384,218,178,89,217,132,0
69,090b11b1-img84,384,218,188,68,223,104,0
70,52c819cc-img85,384,218,61,94,102,137,0
71,57180024-img86,384,218,88,90,133,135,0
72,82ba5f60-img87,384,218,302,122,343,165,0
73,5e1206b7-img90,384,218,43,48,100,106,0
74,b9514ef5-img91,384,218,307,148,344,185,0
75,493ec47c-img92,384,218,275,95,311,130,0
76,466252e2-img93,384,218,115,107,146,141,0
77,3d8d416a-img94,384,218,113,41,148,78,0
78,ac4eda46-img96,384,218,248,24,306,80,0
79,887d1a1f-img97,384,218,53,72,98,117,0
80,6b4fd45f-img98,384,218,142,156,168,185,0
81,c097bc3c-img99,384,218,137,151,165,181,0
82,fba5454e-img100,384,218,281,152,316,188,0
83,bed70e1f-img101,384,218,255,58,291,94,0
84,fac149b9-img102,384,218,121,63,161,106,0
85,7b1acdfb-img103,384,218,124,113,158,147,0
86,d6e81238-img104,384,218,149,99,181,132,0
87,235b212d-img106,384,218,117,152,152,187,0
88,6d13bafd-img107,384,218,302,157,340,198,0
89,f4b61138-img108,384,218,276,37,319,80,0
90,96f5f86b-img109,384,218,161,51,201,89,0
91,eb8f997e-img110,384,218,91,88,134,125,0
92,2e9bc515-img111,384,218,291,83,326,119,0
93,b813e1c5-img112,384,218,226,139,251,164,0
94,1d48f691-img113,384,218,239,130,278,167,0
95,18e89ac5-img114,384,218,231,60,277,103,0
96,7af2e021-img115,384,218,235,117,271,151,0
97,33373389-img116,384,218,149,137,191,175,0
98,3888e549-img117,384,218,273,132,317,175,0
99,51637021-img118,384,218,249,121,287,156,0
100,3d8bb958-img119,384,218,241,43,282,78,0
101,f495ae3a-img120,384,218,179,65,223,101,0
102,8b5e18a3-img121,384,218,54,56,104,100,0
103,6e380d44-img122,384,218,203,151,243,191,0
104,2ef9d496-img123,384,218,199,103,223,128,0
105,79ea2e61-img124,384,218,325,84,354,112,0
106,c8606550-img125,384,218,308,54,337,81,0
107,3aec28e5-img126,384,218,212,56,297,143,0
108,1337afa4-img127,384,218,71,33,145,119,0
109,1ad19cb7-img128,384,218,189,127,236,171,0
110,c12046ab-img129,384,218,208,43,236,71,0
111,f6e790bc-img130,384,218,199,50,238,85,0
112,be503439-img131,384,218,217,100,237,118,0
113,607c28eb-img132,384,218,106,97,127,118,0
114,1a171e6b-img133,384,218,101,138,122,158,0
115,0a9f66b9-img134,384,218,231,121,255,143,0
116,a089de48-img136,384,218,185,112,234,156,0
117,4f3499e7-img137,384,218,93,52,143,101,0
118,af529267-img138,384,218,249,50,297,94,0
119,98a753c5-img139,384,218,328,51,371,104,0
120,d1423406-img140,384,218,279,131,329,181,0
121,23bee47d-img141,384,218,213,68,258,110,0
122,f3f7bfab-img142,384,218,187,98,231,139,0
123,541ba1ad-img143,384,218,223,123,277,175,0
124,ce86a900-img144,384,218,249,109,289,147,0
125,f10a3612-img147,384,218,303,55,324,75,0
126,a1a4db13-img148,384,218,210,139,260,189,0
127,c0367f7f-img151,384,218,130,151,158,181,0
128,e340ae10-img152,384,218,112,67,141,94,0
129,a0242f15-img153,384,218,241,83,274,118,0
130,19e9dc05-img154,384,218,64,101,105,135,0
131,25efad1f-img155,384,218,118,45,152,76,0
