,image,width,height,x_min,y_min,x_max,y_max,label
0,79167d71-img233,384,218,194,115,230,148,1
1,9005753b-img232,384,218,197,111,229,144,1
2,6d682278-img231,384,218,191,114,226,148,1
3,e5890f8c-img230,384,218,206,126,234,157,1
4,5f7b812d-img229,384,218,178,113,203,138,1
5,46309919-img228,384,218,171,113,196,135,1
6,064f0a35-img227,384,218,173,127,196,148,1
7,e0731285-img226,384,218,180,149,203,169,1
8,a27814da-img225,384,218,176,143,196,163,1
9,f24a0c46-img224,384,218,169,122,193,144,1
10,66fcfdbb-img223,384,218,173,125,196,147,1
11,c9a53454-img222,384,218,168,132,194,158,1
12,9c05c40d-img221,384,218,146,109,173,139,1
13,2b00fd4a-img220,384,218,123,113,171,166,1
14,d2487246-img219,384,218,109,120,151,169,1
15,ededc71d-img217,384,218,340,65,374,104,1
16,dcf2db88-img216,384,218,282,89,315,127,1
17,3973819c-img215,384,218,228,118,254,146,1
18,77a7fd10-img214,384,218,228,105,255,136,1
19,bea5d9e1-img213,384,218,186,113,215,143,1
20,027f1d8f-img212,384,218,178,115,208,144,1
21,a5343674-img211,384,218,146,86,185,130,1
22,b7a32d63-img210,384,218,118,80,161,124,1
23,d1ada60e-img209,384,218,96,57,141,107,1
24,40c18982-img208,384,218,110,120,156,181,1
25,c785440d-img207,384,218,227,108,273,165,1
26,9da6feb2-img206,384,218,192,84,232,131,1
27,8f483180-img205,384,218,186,110,232,156,1
28,f09a24ca-img204,384,218,191,153,227,180,1
29,5fba2c3a-img199,384,218,97,136,124,163,1
30,5e59d2c3-img196,384,218,256,123,284,151,1
31,0cc4d59e-img195,384,218,226,119,245,142,1
32,adcadc3b-img193,384,218,173,105,195,130,1
33,29871434-img192,384,218,192,97,216,125,1
34,f45286fd-img190,384,218,302,92,343,141,1
35,ef7d98f2-img189,384,218,255,89,304,143,1
36,c18b1be4-img188,384,218,264,106,309,157,1
37,7b77905d-img186,384,218,136,83,188,138,1
38,7c206819-img185,384,218,245,86,295,141,1
39,c1e0cfea-img182,384,218,323,83,361,128,1
40,e5bdde2e-img181,384,218,311,92,352,138,1
41,1ce7fefc-img180,384,218,309,95,348,142,1
42,6320dbe1-img179,384,218,250,72,293,117,1
43,85f7c565-img178,384,218,254,82,299,126,1
44,02844dc7-img177,384,218,256,109,292,151,1
45,f75040d1-img176,384,218,241,46,277,82,1
46,73c08f59-img174,384,218,278,125,314,165,1
47,69e09676-img172,384,218,262,49,300,93,1
48,fd4db9c9-img168,384,218,137,60,172,98,1
49,5371e6ae-img166,384,218,101,175,133,211,1
50,003fdc7b-img163,384,218,133,94,170,138,1
51,988876e3-img162,384,218,104,89,137,127,1
52,befccddd-img161,384,218,164,94,203,141,1
53,21808714-img160,384,218,125,121,165,159,1
54,b516c35b-img158,384,218,205,128,236,165,1
55,b62fd54b-img157,384,218,219,116,250,153,1
56,bd9d35e0-img156,384,218,150,107,182,142,1
57,5a84fec1-img154,384,218,216,129,257,176,1
58,6cbff12c-img153,384,218,219,137,254,189,1
59,2aa5cb70-img152,384,218,204,50,253,107,1
60,c862b041-img151,384,218,202,59,249,108,1
61,ec460f74-img150,384,218,183,91,223,132,1
62,b2fd0540-img147,384,218,277,77,306,107,1
63,5f4e94a2-img145,384,218,315,155,342,191,1
64,f77741fc-img143,384,218,318,100,351,133,1
65,57ae7c08-img142,384,218,307,124,337,160,1
66,ef21f704-img141,384,218,234,125,262,163,1
67,a88f147b-img139,384,218,291,42,323,75,1
68,ecd500b6-img136,384,218,61,125,86,152,1
69,8997ffd8-img135,384,218,157,137,182,160,1
70,4d3ff7a0-img133,384,218,176,63,202,88,1
71,0a11f01d-img132,384,218,176,69,208,102,1
72,4d2729cd-img131,384,218,191,58,239,108,1
73,c6c26e20-img130,384,218,155,125,205,174,1
74,1da71e94-img129,384,218,143,146,192,193,1
75,4bb54e09-img125,384,218,80,59,112,96,1
76,c2434b30-img124,384,218,43,91,85,130,1
77,fce1b939-img123,384,218,156,132,199,172,1
78,157f19df-img118,384,218,77,72,112,111,1
79,443f758a-img117,384,218,33,90,74,129,1
80,9e45c587-img116,384,218,81,79,109,120,1
81,815cc42d-img115,384,218,161,96,193,132,1
82,d1befbac-img114,384,218,273,67,297,97,1
83,3ef8fcb5-img113,384,218,242,82,269,114,1
84,ee2ad74e-img107,384,218,239,155,262,183,1
85,2425016a-img106,384,218,226,162,249,191,1
86,6ca54d0b-img105,384,218,252,146,275,176,1
87,ef29544a-img103,384,218,207,156,234,186,1
88,6a51983c-img102,384,218,177,159,204,189,1
89,f4acaf9b-img101,384,218,197,158,220,190,1
90,901f5e41-img100,384,218,258,152,289,188,1
91,d2461234-img99,384,218,237,151,270,188,1
92,46f38d77-img98,384,218,277,117,306,154,1
93,d7eabf49-img97,384,218,219,102,252,138,1
94,def24e06-img94,384,218,68,168,108,210,1
95,4ba271a9-img93,384,218,61,42,99,81,1
96,731ed4a0-img91,384,218,210,92,245,127,1
97,f583e873-img90,384,218,250,90,283,126,1
98,fa9ce5d8-img89,384,218,160,90,191,125,1
99,4f091a3c-img87,384,218,135,142,163,180,1
100,3c6e976d-img86,384,218,130,104,154,134,1
101,1158d225-img85,384,218,65,91,85,113,1
102,a9fb4fb2-img84,384,218,50,149,68,169,1
103,4e2cca97-img82,384,218,274,149,297,171,1
104,9f9d8822-img77,384,218,237,154,255,174,1
105,0cebe9c0-img74,384,218,99,145,115,165,1
106,b36a4f62-img73,384,218,104,71,123,91,1
107,a15185c4-img72,384,218,93,138,111,160,1
108,267857ab-img71,384,218,203,147,222,169,1
109,e0290cf6-img70,384,218,215,61,235,86,1
110,ff8d3cec-img68,384,218,129,125,146,147,1
111,691bc780-img65,384,218,278,101,299,123,1
112,915b53ed-img64,384,218,276,160,298,183,1
113,91065334-img63,384,218,145,176,166,197,1
114,ea4cd5f4-img60,384,218,170,35,188,57,1
115,900682c2-img59,384,218,169,27,188,47,1
116,ab8fa40d-img58,384,218,305,109,345,150,1
117,56a66af8-img57,384,218,300,52,338,93,1
118,f5e7d494-img56,384,218,224,52,271,98,1
119,476e60b5-img55,384,218,288,82,330,130,1
120,053f929b-img54,384,218,242,87,286,134,1
121,53f633ad-img53,384,218,220,88,261,135,1
122,a3a690ed-img52,384,218,186,147,229,197,1
123,bc21ab4f-img51,384,218,131,129,169,173,1
124,57896a98-img50,384,218,170,33,205,69,1
125,55a38706-img49,384,218,262,57,275,69,1
126,373126b1-img48,384,218,257,89,271,101,1
127,cac3a1fd-img45,384,218,255,154,277,179,1
128,ec542f63-img43,384,218,159,71,176,94,1
129,8f58c785-img41,384,218,324,132,341,149,1
130,65d8bae7-img40,384,218,256,133,271,148,1
131,e7a35ac5-img39,384,218,218,133,235,153,1
132,938e8426-img38,384,218,213,96,236,120,1
133,60ceda4f-img37,384,218,208,71,254,121,1
134,f1655596-img36,384,218,86,59,133,114,1
135,5df33759-img35,384,218,121,105,208,205,1
136,a686de27-img34,384,218,201,48,231,81,1
137,3b6d1432-img33,384,218,197,145,230,181,1
138,e9d68009-img29,384,218,211,165,240,199,1
139,7369ded6-img28,384,218,210,133,242,167,1
140,b715a08b-img27,384,218,266,136,298,171,1
141,b9d1e17d-img26,384,218,136,119,169,152,1
142,ad294362-img23,384,218,282,65,302,86,1
143,7a470439-img21,384,218,315,109,339,134,1
144,378852e5-img20,384,218,182,109,205,136,1
145,1d56fd7b-img19,384,218,188,106,212,132,1
146,1974358c-img18,384,218,185,145,215,176,1
147,e1ca102c-img17,384,218,186,42,203,63,1
148,321f952d-img16,384,218,186,50,203,72,1
149,f2376c82-img15,384,218,188,66,210,91,1
150,0fddb32c-img14,384,218,259,121,335,199,1
151,69b9f183-img13,384,218,235,119,311,211,1
152,92e0f068-img12,384,218,87,97,169,189,1
153,516e443f-img11,384,218,32,51,99,118,1
154,97086158-img10,384,218,48,62,94,114,1
155,6e2a9b72-img9,384,218,162,76,211,127,1
156,854fa1c2-img8,384,218,267,78,313,132,1
157,24f19b48-img7,384,218,278,142,334,199,1
158,90b7aa77-img6,384,218,288,19,337,77,1
159,9c26deb6-img5,384,218,118,17,162,64,1
160,3eb51674-img4,384,218,65,71,119,133,1
161,a8591cd8-img3,384,218,175,90,222,144,1
